epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.171,2.20662,4.18866,1.2565,0.83428,0.05981,0.05373,0.02758,2.22537,3.37169,1.11764,0.000193487,0.000193487,0.000193487
2,452.871,2.28228,3.18805,1.14515,0.69664,0.09101,0.07127,0.03913,2.19301,2.60024,1.10661,0.000386274,0.000386274,0.000386274
3,560.286,2.22942,2.66433,1.10825,0.63712,0.10051,0.09685,0.05393,2.13255,2.29782,1.11366,0.000575827,0.000575827,0.000575827
4,688.223,2.18291,2.42455,1.09754,0.58966,0.11757,0.122,0.06902,2.03093,2.04166,1.08941,0.000573447,0.000573447,0.000573447
5,870.001,2.11007,2.17426,1.08505,0.52046,0.1484,0.14816,0.08763,1.98379,1.97851,1.069,0.000568596,0.000568596,0.000568596
6,1108.71,2.10246,2.09631,1.06563,0.37454,0.16621,0.13563,0.07765,1.9668,1.87424,1.05692,0.000563745,0.000563745,0.000563745
7,1327.3,2.01688,2.01382,1.05535,0.32766,0.22189,0.17382,0.10396,1.93077,1.77362,1.04802,0.000558894,0.000558894,0.000558894
8,1448.19,1.97199,1.91214,1.04,0.42933,0.2586,0.18775,0.11746,1.91361,1.77378,1.04211,0.000554043,0.000554043,0.000554043
9,1617.18,1.97379,1.86609,1.04199,0.43079,0.275,0.20728,0.1306,1.87643,1.7065,1.02574,0.000549192,0.000549192,0.000549192
10,1868.19,1.91276,1.80471,1.03084,0.46167,0.2734,0.22407,0.142,1.89577,1.70792,1.02975,0.000544341,0.000544341,0.000544341
11,2159.58,1.96587,1.77745,1.04164,0.47525,0.29982,0.26075,0.16541,1.8384,1.62618,1.02436,0.00053949,0.00053949,0.00053949
12,2268.01,1.90258,1.73939,1.02879,0.56349,0.29532,0.2779,0.17865,1.82491,1.57743,1.02063,0.000534639,0.000534639,0.000534639
13,2408.48,1.88992,1.69928,1.02363,0.57292,0.29135,0.29661,0.19408,1.87903,1.56497,1.02402,0.000529788,0.000529788,0.000529788
14,2650.6,1.88958,1.66413,1.02906,0.51849,0.29173,0.29492,0.18761,1.79197,1.53669,1.01481,0.000524937,0.000524937,0.000524937
15,2783.71,1.86516,1.63868,1.01473,0.62715,0.29265,0.3036,0.1905,1.78976,1.51826,1.01107,0.000520086,0.000520086,0.000520086
16,2945.34,1.8579,1.63708,1.01881,0.407,0.34897,0.32325,0.21441,1.73991,1.45481,1.00835,0.000515235,0.000515235,0.000515235
17,3123.96,1.82371,1.60156,1.0074,0.57108,0.34033,0.36177,0.24096,1.77112,1.44586,1.00454,0.000510384,0.000510384,0.000510384
18,3271.96,1.83105,1.56549,1.00232,0.54088,0.33241,0.34727,0.21591,1.79911,1.45479,1.01176,0.000505533,0.000505533,0.000505533
19,3437.29,1.8286,1.53638,1.00279,0.51709,0.33399,0.37144,0.24728,1.70215,1.39437,0.99203,0.000500682,0.000500682,0.000500682
20,3593.54,1.81102,1.5076,0.99868,0.58194,0.35551,0.36663,0.23931,1.72312,1.39206,0.99344,0.000495831,0.000495831,0.000495831
21,3705.45,1.77492,1.48402,0.99151,0.64323,0.33769,0.38036,0.25075,1.70375,1.38469,0.99111,0.00049098,0.00049098,0.00049098
22,3825.05,1.76752,1.45685,0.98746,0.43335,0.39354,0.40251,0.27184,1.69514,1.36511,0.99352,0.000486129,0.000486129,0.000486129
23,4019.36,1.74931,1.45007,0.98916,0.60702,0.37908,0.4084,0.2709,1.70443,1.36027,0.99004,0.000481278,0.000481278,0.000481278
24,4282.38,1.78152,1.43879,0.98548,0.54747,0.381,0.42635,0.28478,1.73575,1.32569,0.99481,0.000476427,0.000476427,0.000476427
25,4475.97,1.77083,1.43591,0.9905,0.52748,0.38936,0.41064,0.27139,1.72412,1.35094,0.99134,0.000471576,0.000471576,0.000471576
26,4733.92,1.73284,1.40503,0.9828,0.58136,0.40751,0.44702,0.30547,1.64752,1.28722,0.97784,0.000466725,0.000466725,0.000466725
27,4836.3,1.73753,1.41294,0.97983,0.56238,0.39583,0.45031,0.30471,1.66797,1.32374,0.98208,0.000461874,0.000461874,0.000461874
28,5126.72,1.7638,1.40512,0.98922,0.54411,0.40508,0.44953,0.30779,1.67805,1.28874,0.98487,0.000457023,0.000457023,0.000457023
29,5282.33,1.721,1.38413,0.98047,0.59974,0.41137,0.45476,0.30344,1.68453,1.31407,0.98615,0.000452172,0.000452172,0.000452172
30,5390.14,1.70772,1.37139,0.97678,0.60309,0.43425,0.46543,0.31916,1.64305,1.27648,0.98121,0.000447321,0.000447321,0.000447321
31,5510.56,1.72721,1.38271,0.9763,0.5585,0.45487,0.49115,0.33503,1.63828,1.29269,0.97859,0.00044247,0.00044247,0.00044247
32,5716.24,1.69034,1.34929,0.97271,0.64463,0.45416,0.50045,0.3445,1.62744,1.24602,0.97044,0.000437619,0.000437619,0.000437619
33,5833.2,1.68658,1.34234,0.96988,0.55497,0.47115,0.48568,0.32778,1.64077,1.2583,0.97324,0.000432768,0.000432768,0.000432768
34,5958.71,1.71107,1.33958,0.97219,0.54324,0.49227,0.5124,0.35393,1.6262,1.23192,0.97273,0.000427917,0.000427917,0.000427917
35,6099.35,1.70564,1.32179,0.96521,0.5805,0.47013,0.50933,0.34374,1.64586,1.23817,0.9741,0.000423066,0.000423066,0.000423066
36,6230.98,1.68087,1.29302,0.96526,0.57197,0.49749,0.53111,0.35542,1.65006,1.23444,0.97359,0.000418215,0.000418215,0.000418215
37,6433.13,1.65886,1.28509,0.96264,0.56763,0.54168,0.54368,0.36989,1.62221,1.18968,0.96976,0.000413364,0.000413364,0.000413364
38,6536.06,1.68141,1.3029,0.96667,0.55273,0.52143,0.54526,0.37505,1.59069,1.22351,0.96816,0.000408513,0.000408513,0.000408513
39,6700.76,1.65926,1.27212,0.95932,0.60839,0.51858,0.53949,0.37414,1.60246,1.19105,0.96552,0.000403662,0.000403662,0.000403662
40,6932.11,1.65864,1.26623,0.96346,0.58441,0.53358,0.55832,0.38715,1.61327,1.17215,0.96186,0.000398811,0.000398811,0.000398811
41,7090.44,1.67308,1.25286,0.9607,0.55948,0.55221,0.56368,0.3927,1.59364,1.16905,0.96242,0.00039396,0.00039396,0.00039396
42,7281.5,1.64881,1.23609,0.96049,0.61585,0.51938,0.55495,0.38684,1.58921,1.15839,0.96298,0.000389109,0.000389109,0.000389109
43,7413.82,1.64544,1.24687,0.95944,0.62351,0.52237,0.56194,0.37458,1.64068,1.17705,0.96889,0.000384258,0.000384258,0.000384258
44,7547.24,1.65123,1.23599,0.95461,0.57062,0.55435,0.56612,0.38823,1.61514,1.15876,0.96851,0.000379407,0.000379407,0.000379407
45,7837.67,1.66802,1.22632,0.96265,0.64909,0.52198,0.57295,0.39914,1.59197,1.15067,0.95943,0.000374556,0.000374556,0.000374556
46,8043.77,1.63562,1.20856,0.95452,0.63511,0.52674,0.57243,0.37452,1.63692,1.16461,0.9701,0.000369705,0.000369705,0.000369705
47,8133.18,1.65338,1.21985,0.95695,0.63173,0.53699,0.57228,0.39408,1.57263,1.16678,0.95871,0.000364854,0.000364854,0.000364854
48,8350.72,1.6073,1.19324,0.94963,0.64613,0.56758,0.60147,0.41449,1.57111,1.13917,0.9545,0.000360003,0.000360003,0.000360003
49,8458.11,1.65451,1.1956,0.95051,0.65401,0.54839,0.59144,0.40712,1.57246,1.15766,0.95819,0.000355152,0.000355152,0.000355152
50,8702.59,1.60836,1.18809,0.95342,0.67017,0.52428,0.56786,0.38916,1.59579,1.17641,0.96194,0.000350301,0.000350301,0.000350301
51,8849.46,1.59619,1.17145,0.94818,0.70567,0.52959,0.5853,0.40615,1.574,1.16674,0.95832,0.00034545,0.00034545,0.00034545
52,8959.27,1.6078,1.17238,0.94936,0.63899,0.54787,0.58722,0.4086,1.57045,1.11417,0.95673,0.000340599,0.000340599,0.000340599
53,9071.78,1.59614,1.16713,0.9503,0.68727,0.56494,0.61486,0.41535,1.58682,1.09671,0.95732,0.000335748,0.000335748,0.000335748
54,9202.4,1.62155,1.17769,0.94581,0.6565,0.55406,0.60026,0.41926,1.55518,1.0897,0.95355,0.000330897,0.000330897,0.000330897
55,9394.59,1.60377,1.16037,0.94504,0.6139,0.59028,0.61017,0.41278,1.60736,1.12495,0.9588,0.000326046,0.000326046,0.000326046
56,9517.81,1.57614,1.14459,0.94605,0.65406,0.57561,0.62583,0.43651,1.55516,1.07262,0.95112,0.000321195,0.000321195,0.000321195
57,9655.4,1.58832,1.14797,0.94296,0.67164,0.55696,0.60247,0.42075,1.54019,1.10737,0.94895,0.000316344,0.000316344,0.000316344
58,9914.04,1.61202,1.1482,0.94385,0.70691,0.57876,0.61337,0.42951,1.538,1.10716,0.95063,0.000311493,0.000311493,0.000311493
59,10037.9,1.57092,1.13479,0.9393,0.69963,0.5885,0.63718,0.44312,1.53734,1.06825,0.95181,0.000306642,0.000306642,0.000306642
60,10158.6,1.58698,1.12687,0.93791,0.73891,0.58913,0.64454,0.45378,1.54267,1.05608,0.94961,0.000301791,0.000301791,0.000301791
