epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3149,2.29004,4.02209,1.28166,0.76135,0.06497,0.05848,0.03282,2.21187,2.90711,1.15463,0.000195279,0.000195279,0.000195279
2,154.01,2.32788,3.05757,1.17149,0.63042,0.09627,0.08046,0.04318,2.19252,2.5656,1.10626,0.000389343,0.000389343,0.000389343
3,221.321,2.21386,2.63006,1.13409,0.48338,0.11678,0.09147,0.051,2.07185,2.21751,1.11173,0.000581465,0.000581465,0.000581465
4,290.802,2.19601,2.45154,1.13077,0.51225,0.15691,0.13271,0.07306,2.01605,2.06131,1.08438,0.000579268,0.000579268,0.000579268
5,366.994,2.10072,2.25519,1.10929,0.43559,0.1738,0.16301,0.09555,1.99857,1.96329,1.07679,0.000576358,0.000576358,0.000576358
6,441.025,2.11347,2.20954,1.10585,0.29839,0.19633,0.13944,0.08104,1.95525,1.90471,1.07445,0.000573447,0.000573447,0.000573447
7,517.606,2.06169,2.09471,1.09165,0.3682,0.23658,0.1901,0.11518,1.9417,1.85239,1.06593,0.000570536,0.000570536,0.000570536
8,598.198,2.05399,2.06701,1.08877,0.35342,0.25086,0.19858,0.12033,1.96615,1.83686,1.06029,0.000567626,0.000567626,0.000567626
9,668.433,2.00314,2.01553,1.08466,0.44443,0.27302,0.20726,0.1247,1.90698,1.75466,1.05237,0.000564715,0.000564715,0.000564715
10,740.562,1.97848,1.94828,1.0657,0.48438,0.27327,0.2362,0.14423,1.93837,1.7688,1.05124,0.000561805,0.000561805,0.000561805
11,813.327,1.96507,1.91,1.06877,0.46072,0.31486,0.25054,0.1569,1.8737,1.71154,1.04298,0.000558894,0.000558894,0.000558894
12,879.337,1.94996,1.8966,1.06471,0.60732,0.27546,0.26414,0.16734,1.84615,1.67285,1.03998,0.000555983,0.000555983,0.000555983
13,952.289,1.95682,1.86545,1.06149,0.58425,0.31584,0.30753,0.19836,1.87413,1.67347,1.04552,0.000553073,0.000553073,0.000553073
14,1028.56,1.91735,1.83612,1.05832,0.61381,0.30563,0.30249,0.19477,1.83478,1.59936,1.0378,0.000550162,0.000550162,0.000550162
15,1097.69,1.89635,1.79491,1.05108,0.60288,0.33002,0.3262,0.21603,1.81439,1.60918,1.03703,0.000547252,0.000547252,0.000547252
16,1163.52,1.89697,1.79866,1.05625,0.43003,0.35934,0.33099,0.21604,1.80408,1.61799,1.04102,0.000544341,0.000544341,0.000544341
17,1228.9,1.89577,1.76107,1.04272,0.55776,0.3181,0.33231,0.21153,1.80436,1.61462,1.03176,0.00054143,0.00054143,0.00054143
18,1297.16,1.8921,1.71766,1.04311,0.60335,0.3218,0.34443,0.22457,1.80754,1.55212,1.03558,0.00053852,0.00053852,0.00053852
19,1364.02,1.87447,1.69721,1.04301,0.52493,0.34968,0.35664,0.23324,1.81059,1.525,1.02957,0.000535609,0.000535609,0.000535609
20,1429.98,1.83316,1.65794,1.02326,0.48128,0.37079,0.37406,0.24601,1.81001,1.55077,1.03008,0.000532699,0.000532699,0.000532699
21,1498.94,1.84852,1.65181,1.02567,0.5416,0.35751,0.36826,0.24341,1.76916,1.50216,1.02595,0.000529788,0.000529788,0.000529788
22,1563.49,1.8697,1.6363,1.02678,0.6314,0.36503,0.39211,0.26286,1.80785,1.52493,1.02815,0.000526877,0.000526877,0.000526877
23,1636.92,1.84693,1.61108,1.02394,0.45768,0.39088,0.38264,0.25141,1.74821,1.51244,1.01461,0.000523967,0.000523967,0.000523967
24,1702.4,1.83873,1.60232,1.01859,0.55869,0.39755,0.40971,0.27558,1.7376,1.45636,1.00994,0.000521056,0.000521056,0.000521056
25,1771.09,1.81238,1.56305,1.02088,0.70392,0.35465,0.41172,0.27693,1.74688,1.4515,1.0162,0.000518146,0.000518146,0.000518146
26,1841.97,1.8153,1.55964,1.02049,0.61886,0.38558,0.42139,0.27917,1.73467,1.42626,1.00564,0.000515235,0.000515235,0.000515235
27,1908.92,1.7772,1.54285,1.01487,0.3772,0.41577,0.40183,0.26662,1.73765,1.45519,1.00816,0.000512324,0.000512324,0.000512324
28,1976.98,1.78963,1.54147,1.01557,0.52994,0.41768,0.42975,0.28131,1.79258,1.42713,1.01625,0.000509414,0.000509414,0.000509414
29,2046.09,1.79986,1.53628,1.0148,0.66558,0.37568,0.43225,0.28683,1.72492,1.42968,1.00746,0.000506503,0.000506503,0.000506503
30,2110.51,1.742,1.49598,1.007,0.51269,0.41995,0.44343,0.29509,1.72217,1.40865,1.00597,0.000503593,0.000503593,0.000503593
31,2176.74,1.78067,1.48652,1.00632,0.53367,0.44586,0.45794,0.31422,1.70908,1.36214,1.00325,0.000500682,0.000500682,0.000500682
32,2246.89,1.8121,1.53544,1.01598,0.63494,0.40545,0.44571,0.29491,1.75105,1.39386,1.00935,0.000497771,0.000497771,0.000497771
33,2312.79,1.74677,1.47064,1.00902,0.49551,0.43816,0.46855,0.32164,1.71138,1.36633,1.00248,0.000494861,0.000494861,0.000494861
34,2378.25,1.78706,1.48072,1.00122,0.60645,0.41561,0.47314,0.31677,1.71491,1.38118,0.99779,0.00049195,0.00049195,0.00049195
35,2450.14,1.76269,1.45597,0.99964,0.47182,0.48948,0.47749,0.31709,1.70809,1.3589,0.99617,0.00048904,0.00048904,0.00048904
36,2515.18,1.76401,1.43956,1.00505,0.56145,0.46929,0.49851,0.3379,1.68695,1.34037,0.99723,0.000486129,0.000486129,0.000486129
37,2587.17,1.73832,1.43782,0.99646,0.54581,0.46046,0.48136,0.31796,1.71953,1.34964,1.00298,0.000483218,0.000483218,0.000483218
38,2655.29,1.75811,1.4148,0.99719,0.58097,0.47989,0.50038,0.33427,1.70713,1.33329,0.99697,0.000480308,0.000480308,0.000480308
39,2724.52,1.74262,1.42272,0.99982,0.51161,0.50497,0.50194,0.33259,1.67236,1.33995,0.99265,0.000477397,0.000477397,0.000477397
40,2789.21,1.7458,1.41145,1.0004,0.58366,0.49509,0.50422,0.34698,1.67622,1.31515,0.99117,0.000474487,0.000474487,0.000474487
41,2857.87,1.73888,1.39114,0.99905,0.59224,0.4831,0.51722,0.34753,1.68525,1.33236,0.9914,0.000471576,0.000471576,0.000471576
42,2940.59,1.71257,1.37276,0.9883,0.53957,0.53891,0.54114,0.36665,1.67074,1.27921,0.99211,0.000468665,0.000468665,0.000468665
43,3006.27,1.69824,1.36945,0.99052,0.60384,0.51944,0.54094,0.36679,1.66572,1.26742,0.9917,0.000465755,0.000465755,0.000465755
44,3071.68,1.71824,1.36215,0.99057,0.55251,0.50181,0.52518,0.35583,1.69574,1.29272,0.99037,0.000462844,0.000462844,0.000462844
45,3142.06,1.74203,1.3546,0.99658,0.59599,0.52415,0.54314,0.3739,1.67545,1.27593,0.99464,0.000459934,0.000459934,0.000459934
46,3211.57,1.73328,1.35258,0.99178,0.5717,0.51376,0.52948,0.34399,1.68517,1.29443,0.9948,0.000457023,0.000457023,0.000457023
47,3279.5,1.68976,1.33104,0.9842,0.5943,0.53577,0.5547,0.38176,1.66166,1.26296,0.98414,0.000454112,0.000454112,0.000454112
48,3343.57,1.69914,1.33005,0.98825,0.61773,0.49964,0.54613,0.36883,1.69515,1.2783,0.99025,0.000451202,0.000451202,0.000451202
