epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.9331,2.29004,4.02209,1.28166,0.76135,0.06497,0.05848,0.03282,2.21187,2.90711,1.15463,0.000195279,0.000195279,0.000195279
2,155.1,2.32824,3.0577,1.17148,0.62942,0.09631,0.0798,0.04286,2.19047,2.56843,1.10571,0.000388697,0.000388697,0.000388697
3,234.929,2.21306,2.62881,1.13308,0.4839,0.11643,0.09826,0.05498,2.06825,2.21215,1.10945,0.000579527,0.000579527,0.000579527
4,314.474,2.19581,2.45161,1.13062,0.5068,0.15697,0.15239,0.08718,2.02046,2.05481,1.08675,0.000576358,0.000576358,0.000576358
5,398.226,2.09789,2.25614,1.10945,0.42641,0.17554,0.16593,0.09757,2.00049,1.97385,1.0796,0.000572477,0.000572477,0.000572477
6,479.533,2.1109,2.21066,1.10594,0.36926,0.19618,0.15112,0.0884,1.94917,1.89948,1.06972,0.000568596,0.000568596,0.000568596
7,559.699,2.06175,2.09377,1.0953,0.13606,0.27872,0.18392,0.10825,1.95331,1.84792,1.06792,0.000564715,0.000564715,0.000564715
8,641.661,2.05337,2.05673,1.08881,0.34702,0.25124,0.19986,0.12194,1.97592,1.84485,1.06305,0.000560834,0.000560834,0.000560834
9,718.699,2.00019,2.01493,1.08447,0.46993,0.26998,0.20662,0.12556,1.9006,1.75037,1.05136,0.000556954,0.000556954,0.000556954
10,795.122,1.97133,1.94825,1.06462,0.48708,0.27274,0.23267,0.1417,1.93878,1.78153,1.05661,0.000553073,0.000553073,0.000553073
11,873.057,1.96602,1.90778,1.06743,0.53438,0.31664,0.24857,0.15441,1.86979,1.70719,1.04399,0.000549192,0.000549192,0.000549192
12,949.368,1.94449,1.89683,1.06502,0.53405,0.28592,0.26749,0.1714,1.85744,1.67148,1.04253,0.000545311,0.000545311,0.000545311
13,1028.88,1.95646,1.86458,1.06019,0.57444,0.32498,0.30651,0.19682,1.89106,1.68519,1.04378,0.00054143,0.00054143,0.00054143
14,1111.49,1.91867,1.83545,1.06032,0.60964,0.30361,0.30622,0.19792,1.83373,1.601,1.0431,0.00053755,0.00053755,0.00053755
15,1192.07,1.89867,1.79107,1.04957,0.56811,0.35809,0.32148,0.21314,1.81312,1.61571,1.03673,0.000533669,0.000533669,0.000533669
16,1273.75,1.89356,1.79384,1.05557,0.5189,0.35908,0.34021,0.22203,1.80618,1.57867,1.03786,0.000529788,0.000529788,0.000529788
17,1356.02,1.89415,1.7495,1.04207,0.62458,0.32935,0.33231,0.21258,1.79398,1.59114,1.02853,0.000525907,0.000525907,0.000525907
18,1436.82,1.89311,1.71814,1.04382,0.56234,0.31977,0.35174,0.23104,1.79429,1.53045,1.03101,0.000522026,0.000522026,0.000522026
19,1514.44,1.87673,1.7044,1.0445,0.51139,0.35021,0.35071,0.22907,1.80102,1.53262,1.02644,0.000518146,0.000518146,0.000518146
20,1589.97,1.83242,1.66222,1.02215,0.64508,0.35154,0.36057,0.23778,1.79274,1.54771,1.02827,0.000514265,0.000514265,0.000514265
21,1668.71,1.84924,1.65111,1.02574,0.54839,0.35974,0.36753,0.24374,1.76531,1.49025,1.02254,0.000510384,0.000510384,0.000510384
22,1745.31,1.86906,1.63002,1.02747,0.57577,0.34531,0.37244,0.24882,1.78442,1.52844,1.02262,0.000506503,0.000506503,0.000506503
23,1843.29,1.84726,1.61529,1.02345,0.59142,0.3477,0.3745,0.24731,1.75885,1.49763,1.02069,0.000502622,0.000502622,0.000502622
24,1926.75,1.84134,1.60855,1.01997,0.44516,0.40147,0.38762,0.25845,1.73236,1.46539,1.01172,0.000498742,0.000498742,0.000498742
25,2009.36,1.81641,1.57071,1.02227,0.51557,0.36487,0.40343,0.27232,1.73772,1.4533,1.01344,0.000494861,0.000494861,0.000494861
26,2093.51,1.81377,1.56895,1.02072,0.45787,0.42569,0.41911,0.27977,1.73253,1.41277,1.00941,0.00049098,0.00049098,0.00049098
27,2172.5,1.77566,1.54396,1.01561,0.44952,0.37928,0.39981,0.26488,1.72541,1.43584,1.0077,0.000487099,0.000487099,0.000487099
28,2255.51,1.79243,1.53798,1.017,0.47932,0.39931,0.40936,0.27289,1.79107,1.43016,1.01752,0.000483218,0.000483218,0.000483218
29,2339.53,1.8083,1.53705,1.01716,0.48729,0.42775,0.43167,0.29313,1.72848,1.43245,1.01198,0.000479338,0.000479338,0.000479338
30,2422.31,1.74723,1.50049,1.00838,0.53031,0.42218,0.44514,0.30295,1.72796,1.40066,1.00897,0.000475457,0.000475457,0.000475457
31,2507.21,1.77191,1.48529,1.00469,0.60068,0.40334,0.45485,0.31288,1.71271,1.36376,1.00469,0.000471576,0.000471576,0.000471576
32,2587.44,1.79612,1.52672,1.01137,0.55824,0.46541,0.46109,0.31546,1.71967,1.38527,1.0076,0.000467695,0.000467695,0.000467695
33,2663.58,1.7415,1.4724,1.00763,0.53681,0.44333,0.47045,0.32104,1.72174,1.36588,1.00056,0.000463814,0.000463814,0.000463814
34,2742.68,1.79158,1.49486,1.00146,0.61523,0.44066,0.48411,0.32838,1.70688,1.37797,1.00344,0.000459934,0.000459934,0.000459934
35,2826.63,1.76943,1.45731,1.00019,0.53428,0.46423,0.48434,0.31947,1.71591,1.33919,1.00162,0.000456053,0.000456053,0.000456053
