epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.8782,2.29004,4.02209,1.28166,0.76135,0.06497,0.05848,0.03282,2.21187,2.90711,1.15463,0.000195279,0.000195279,0.000195279
2,153.635,2.32805,3.05759,1.1718,0.63084,0.097,0.08133,0.04392,2.18891,2.56267,1.10598,0.000389323,0.000389323,0.000389323
3,223.068,2.21425,2.62699,1.13365,0.48329,0.11607,0.1007,0.05613,2.06615,2.21668,1.10899,0.000581407,0.000581407,0.000581407
4,292.604,2.19533,2.44719,1.12996,0.43103,0.15592,0.13327,0.07322,2.02285,2.07124,1.0867,0.00057918,0.00057918,0.00057918
5,367.154,2.10142,2.25515,1.10863,0.42644,0.17548,0.16145,0.09517,2.00597,1.98236,1.07748,0.00057624,0.00057624,0.00057624
6,438.971,2.11212,2.21211,1.10616,0.53129,0.19324,0.14961,0.08757,1.95657,1.89871,1.07401,0.0005733,0.0005733,0.0005733
7,514.525,2.06267,2.09217,1.09466,0.13936,0.27803,0.18618,0.10926,1.95786,1.85275,1.06905,0.00057036,0.00057036,0.00057036
8,591.699,2.05086,2.05485,1.08645,0.34591,0.25177,0.18889,0.11233,1.98684,1.85612,1.06399,0.00056742,0.00056742,0.00056742
9,662.983,1.99884,2.01097,1.08389,0.54041,0.28035,0.20847,0.12561,1.9021,1.75197,1.05275,0.00056448,0.00056448,0.00056448
10,734.86,1.96986,1.94649,1.06261,0.48878,0.26843,0.23143,0.13813,1.93763,1.78701,1.05628,0.00056154,0.00056154,0.00056154
11,810.334,1.96328,1.90327,1.06698,0.5687,0.28733,0.25732,0.16132,1.87656,1.70177,1.04755,0.0005586,0.0005586,0.0005586
12,884.69,1.94419,1.89382,1.06433,0.60359,0.28596,0.27635,0.17706,1.85024,1.67937,1.04241,0.00055566,0.00055566,0.00055566
13,963.294,1.95315,1.86214,1.06104,0.67338,0.27956,0.3099,0.19729,1.87523,1.68984,1.04284,0.00055272,0.00055272,0.00055272
14,1041.37,1.9179,1.84491,1.0597,0.61204,0.29938,0.30781,0.19482,1.83196,1.61882,1.04249,0.00054978,0.00054978,0.00054978
15,1114.58,1.8994,1.79221,1.05262,0.60425,0.33166,0.33041,0.21916,1.81118,1.61867,1.03741,0.00054684,0.00054684,0.00054684
16,1183.86,1.89742,1.79501,1.05809,0.68747,0.32366,0.35186,0.23076,1.8066,1.56495,1.03695,0.0005439,0.0005439,0.0005439
