epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.595,2.24422,3.87325,1.28245,0.61447,0.1242,0.07354,0.0406,2.06298,2.61539,1.16726,0.000195279,0.000195279,0.000195279
2,506.745,2.17631,2.83085,1.17232,0.6453,0.12666,0.09418,0.0519,1.98619,2.39078,1.12119,0.000389323,0.000389323,0.000389323
3,642.023,2.05478,2.48158,1.14505,0.43209,0.13759,0.11327,0.06395,1.91651,2.08961,1.11041,0.000581407,0.000581407,0.000581407
4,784.209,2.02982,2.34637,1.1414,0.32077,0.162,0.13774,0.07791,1.91464,2.02262,1.11297,0.00057918,0.00057918,0.00057918
5,970.961,1.96577,2.17244,1.12245,0.39833,0.19202,0.16125,0.09507,1.88227,1.90535,1.11123,0.00057624,0.00057624,0.00057624
6,1222.66,1.97299,2.12434,1.13051,0.4282,0.22207,0.17558,0.10224,1.83764,1.81093,1.09217,0.0005733,0.0005733,0.0005733
7,1955.72,1.9521,2.04829,1.11348,0.51334,0.24747,0.19501,0.11066,1.84967,1.79924,1.09514,0.00057036,0.00057036,0.00057036
8,2102.2,1.93309,1.99817,1.10379,0.6068,0.25565,0.2374,0.14874,1.8186,1.77879,1.08209,0.00056742,0.00056742,0.00056742
9,2650.44,1.88553,1.95459,1.10324,0.38661,0.35386,0.27705,0.18284,1.79065,1.66017,1.07363,0.00056448,0.00056448,0.00056448
10,2827.02,1.86005,1.86766,1.0828,0.52092,0.32059,0.26897,0.16947,1.82878,1.69757,1.07893,0.00056154,0.00056154,0.00056154
11,3072.6,1.87221,1.86027,1.09625,0.56223,0.36395,0.31096,0.2044,1.7763,1.62739,1.07977,0.0005586,0.0005586,0.0005586
12,3213.9,1.83462,1.81906,1.08164,0.61699,0.3058,0.31804,0.21077,1.76475,1.61745,1.07257,0.00055566,0.00055566,0.00055566
13,3466.03,1.84866,1.81117,1.08172,0.63135,0.3299,0.33734,0.22802,1.76106,1.60903,1.07798,0.00055272,0.00055272,0.00055272
14,3714.76,1.80828,1.76223,1.07754,0.64491,0.33483,0.34838,0.23584,1.74128,1.54076,1.06265,0.00054978,0.00054978,0.00054978
15,3866.22,1.79148,1.73336,1.07159,0.64258,0.37336,0.38143,0.25811,1.73751,1.53072,1.06279,0.00054684,0.00054684,0.00054684
16,4016.32,1.79264,1.74337,1.07172,0.61341,0.37195,0.37841,0.25743,1.71864,1.50699,1.06415,0.0005439,0.0005439,0.0005439
17,4495.31,1.79896,1.68178,1.06433,0.69507,0.36394,0.39036,0.26096,1.73671,1.52032,1.05571,0.00054096,0.00054096,0.00054096
18,4634.92,1.79836,1.65914,1.06533,0.72039,0.37565,0.41918,0.28134,1.71526,1.4598,1.05699,0.00053802,0.00053802,0.00053802
19,4904.24,1.77977,1.6311,1.06579,0.69057,0.37684,0.42769,0.28346,1.72384,1.44804,1.06206,0.00053508,0.00053508,0.00053508
20,5046.95,1.74583,1.58908,1.03631,0.55794,0.41698,0.43589,0.3011,1.69105,1.45786,1.05167,0.00053214,0.00053214,0.00053214
21,5201.8,1.76058,1.58804,1.04748,0.54353,0.42759,0.44679,0.30314,1.69681,1.46287,1.05226,0.0005292,0.0005292,0.0005292
22,5351.47,1.7643,1.55767,1.04598,0.60193,0.41527,0.45596,0.32037,1.6897,1.42637,1.0521,0.00052626,0.00052626,0.00052626
23,5553.13,1.76065,1.53623,1.04551,0.46902,0.48445,0.46285,0.32217,1.67397,1.4071,1.0485,0.00052332,0.00052332,0.00052332
24,5796.44,1.74233,1.52998,1.03823,0.60589,0.46016,0.48368,0.33691,1.66978,1.39656,1.04153,0.00052038,0.00052038,0.00052038
25,5961.95,1.73001,1.51275,1.0423,0.56251,0.48291,0.48356,0.33238,1.68361,1.3552,1.04623,0.00051744,0.00051744,0.00051744
26,6142.99,1.74503,1.51631,1.04486,0.56947,0.46811,0.49404,0.33035,1.70206,1.39936,1.04476,0.0005145,0.0005145,0.0005145
27,6575.46,1.71474,1.50505,1.04185,0.58613,0.46082,0.49311,0.33532,1.68231,1.3833,1.04318,0.00051156,0.00051156,0.00051156
28,6789.07,1.71903,1.48327,1.03916,0.61969,0.46647,0.49534,0.34523,1.66794,1.36864,1.03677,0.00050862,0.00050862,0.00050862
29,7246.99,1.7121,1.47617,1.03632,0.52194,0.52206,0.52034,0.35545,1.67415,1.35396,1.03912,0.00050568,0.00050568,0.00050568
30,7435.93,1.67135,1.44591,1.02802,0.63157,0.48398,0.51492,0.34974,1.6725,1.34059,1.03604,0.00050274,0.00050274,0.00050274
31,7593.79,1.6945,1.42182,1.02737,0.57215,0.51303,0.52287,0.36846,1.64902,1.31466,1.03418,0.0004998,0.0004998,0.0004998
32,7853.99,1.71708,1.45453,1.03321,0.59858,0.52747,0.53129,0.36416,1.68081,1.32477,1.03267,0.00049686,0.00049686,0.00049686
33,8126.38,1.66928,1.40486,1.02815,0.62894,0.52011,0.53977,0.37678,1.672,1.31446,1.03438,0.00049392,0.00049392,0.00049392
34,8285.16,1.70525,1.41243,1.01953,0.68608,0.50984,0.56055,0.39259,1.6396,1.30296,1.0277,0.00049098,0.00049098,0.00049098
35,8565.22,1.69004,1.40493,1.02087,0.65237,0.51094,0.56132,0.38808,1.65571,1.29068,1.02725,0.00048804,0.00048804,0.00048804
36,8689.54,1.68767,1.38473,1.02597,0.68369,0.51365,0.55129,0.38046,1.63875,1.29798,1.02818,0.0004851,0.0004851,0.0004851
37,9388.34,1.66122,1.37358,1.01442,0.6146,0.55115,0.57325,0.40122,1.6425,1.27455,1.02502,0.00048216,0.00048216,0.00048216
38,9530.68,1.66735,1.3495,1.01574,0.61762,0.56143,0.58943,0.41496,1.63676,1.24938,1.03004,0.00047922,0.00047922,0.00047922
39,9714,1.64997,1.34268,1.01393,0.64469,0.55704,0.5827,0.41331,1.60759,1.23501,1.02074,0.00047628,0.00047628,0.00047628
40,9864.35,1.65222,1.32985,1.01592,0.66698,0.55953,0.59452,0.41918,1.64875,1.24527,1.02758,0.00047334,0.00047334,0.00047334
41,10101.3,1.66871,1.33028,1.02096,0.6545,0.55965,0.59109,0.41078,1.66651,1.23591,1.03598,0.0004704,0.0004704,0.0004704
42,10293.5,1.64973,1.30873,1.01042,0.66398,0.57248,0.60205,0.42711,1.62058,1.20854,1.01872,0.00046746,0.00046746,0.00046746
43,10473.7,1.63507,1.31045,1.01064,0.70452,0.56833,0.6085,0.42828,1.62369,1.19722,1.02327,0.00046452,0.00046452,0.00046452
44,10644.9,1.64683,1.28468,1.01329,0.65582,0.57397,0.61747,0.429,1.61874,1.21265,1.01611,0.00046158,0.00046158,0.00046158
45,10869,1.66539,1.29184,1.01875,0.61749,0.59507,0.61513,0.43487,1.62286,1.20039,1.02294,0.00045864,0.00045864,0.00045864
46,11765.3,1.65705,1.28231,1.01293,0.65475,0.58056,0.61963,0.42505,1.62879,1.22672,1.02924,0.0004557,0.0004557,0.0004557
47,11967.5,1.61999,1.27636,1.00289,0.67237,0.58761,0.63232,0.44265,1.61288,1.18632,1.01626,0.00045276,0.00045276,0.00045276
48,12117.1,1.63126,1.26542,1.01082,0.67177,0.57675,0.61667,0.43343,1.60791,1.19368,1.01442,0.00044982,0.00044982,0.00044982
49,12259.4,1.6137,1.23464,0.99685,0.68885,0.59899,0.63618,0.44267,1.60418,1.17471,1.01294,0.00044688,0.00044688,0.00044688
50,12609.4,1.64162,1.26209,1.00983,0.68104,0.59915,0.631,0.44094,1.61738,1.17945,1.0164,0.00044394,0.00044394,0.00044394
51,12812.7,1.61732,1.23171,0.99792,0.70356,0.60236,0.64742,0.44657,1.61285,1.17492,1.01416,0.000441,0.000441,0.000441
52,13247.7,1.5989,1.22261,0.99486,0.6428,0.62095,0.6374,0.45558,1.59469,1.15601,1.01042,0.00043806,0.00043806,0.00043806
53,13384.9,1.59922,1.21441,1.00565,0.70876,0.60511,0.64663,0.45596,1.61284,1.16842,1.0107,0.00043512,0.00043512,0.00043512
54,13582.3,1.61921,1.22434,1.00335,0.74223,0.58784,0.65485,0.44703,1.5888,1.1614,1.01125,0.00043218,0.00043218,0.00043218
55,13957.3,1.6104,1.22831,0.99959,0.76326,0.60042,0.6563,0.45645,1.59897,1.16297,1.0091,0.00042924,0.00042924,0.00042924
56,14071.9,1.61712,1.22142,1.00783,0.68641,0.59572,0.64688,0.44857,1.60136,1.14615,1.01959,0.0004263,0.0004263,0.0004263
57,14262,1.59414,1.18985,0.99322,0.73048,0.60359,0.66778,0.46868,1.59197,1.14337,1.01212,0.00042336,0.00042336,0.00042336
58,14443.8,1.60066,1.21397,0.99566,0.71656,0.613,0.66301,0.46618,1.59504,1.1333,1.00881,0.00042042,0.00042042,0.00042042
59,15010,1.62573,1.21892,0.9977,0.77599,0.59496,0.65069,0.44662,1.58552,1.14716,1.00673,0.00041748,0.00041748,0.00041748
60,15142.5,1.58216,1.18079,0.98759,0.76866,0.60736,0.67638,0.48092,1.58438,1.12845,1.01024,0.00041454,0.00041454,0.00041454
61,15340,1.58557,1.18308,0.99587,0.75665,0.60441,0.67179,0.4642,1.57918,1.11364,1.00754,0.0004116,0.0004116,0.0004116
62,15467.7,1.59971,1.17549,0.9963,0.75899,0.60624,0.67049,0.4727,1.56511,1.11835,1.00473,0.00040866,0.00040866,0.00040866
63,15646.8,1.58576,1.1797,0.98729,0.77056,0.60556,0.68723,0.47341,1.59418,1.1138,1.00798,0.00040572,0.00040572,0.00040572
64,15886.3,1.57208,1.15107,0.98811,0.70576,0.62681,0.66388,0.45437,1.59886,1.11693,1.01104,0.00040278,0.00040278,0.00040278
65,16090.9,1.59868,1.14778,0.99593,0.73162,0.61469,0.67888,0.4734,1.60551,1.12141,1.01115,0.00039984,0.00039984,0.00039984
66,16773.8,1.60118,1.16304,0.98977,0.77078,0.60973,0.68355,0.48312,1.56581,1.11345,1.00218,0.0003969,0.0003969,0.0003969
67,16953.5,1.57435,1.1441,0.99241,0.73753,0.63312,0.68273,0.47995,1.57102,1.1075,1.00437,0.00039396,0.00039396,0.00039396
68,17134.2,1.55061,1.14197,0.97998,0.75324,0.62018,0.68156,0.48897,1.56778,1.11402,1.00336,0.00039102,0.00039102,0.00039102
69,17553.6,1.56384,1.12947,0.98148,0.79881,0.61809,0.68942,0.49152,1.55961,1.09089,1.0038,0.00038808,0.00038808,0.00038808
70,17771.8,1.56855,1.13294,0.98592,0.77934,0.6222,0.69058,0.48814,1.57573,1.09623,1.00298,0.00038514,0.00038514,0.00038514
71,17954.6,1.53499,1.11103,0.98006,0.77056,0.62905,0.69957,0.4983,1.56358,1.08359,1.00063,0.0003822,0.0003822,0.0003822
72,18468.5,1.55453,1.12804,0.98173,0.77835,0.63776,0.69671,0.48656,1.56613,1.08339,1.00206,0.00037926,0.00037926,0.00037926
73,18625.4,1.52865,1.11031,0.9796,0.7646,0.64904,0.69976,0.49663,1.55602,1.08693,0.99957,0.00037632,0.00037632,0.00037632
74,18801.8,1.55183,1.11749,0.98406,0.76855,0.65523,0.70182,0.50186,1.55897,1.07307,0.9986,0.00037338,0.00037338,0.00037338
75,19108.2,1.54707,1.09977,0.98749,0.76403,0.64905,0.704,0.49031,1.56979,1.07207,1.00412,0.00037044,0.00037044,0.00037044
76,19772.5,1.54286,1.10681,0.97363,0.77658,0.66844,0.71438,0.51751,1.53783,1.05717,0.9975,0.0003675,0.0003675,0.0003675
77,19943.8,1.53191,1.09615,0.97292,0.78719,0.6556,0.71119,0.50295,1.5638,1.07274,1.00173,0.00036456,0.00036456,0.00036456
78,20142.4,1.5603,1.10054,0.98307,0.78629,0.6543,0.72561,0.51382,1.54219,1.06891,0.9967,0.00036162,0.00036162,0.00036162
79,20313.2,1.5359,1.08228,0.97495,0.77695,0.66504,0.7233,0.50901,1.55116,1.05885,0.99954,0.00035868,0.00035868,0.00035868
80,20476.9,1.55166,1.09017,0.98385,0.79729,0.65827,0.71591,0.51036,1.54325,1.05193,0.99783,0.00035574,0.00035574,0.00035574
81,20713.5,1.55126,1.08834,0.97471,0.76922,0.67287,0.72802,0.52133,1.531,1.05279,0.99427,0.0003528,0.0003528,0.0003528
82,21030.3,1.51739,1.07113,0.97503,0.79033,0.67156,0.73167,0.52426,1.52374,1.03606,0.99195,0.00034986,0.00034986,0.00034986
83,21220.5,1.53807,1.07985,0.98018,0.80173,0.67349,0.7263,0.51338,1.5369,1.04896,0.99354,0.00034692,0.00034692,0.00034692
84,21474,1.5336,1.06988,0.98272,0.81136,0.66633,0.73116,0.52685,1.52621,1.02521,0.98809,0.00034398,0.00034398,0.00034398
85,21584.4,1.53173,1.07546,0.97523,0.76982,0.67597,0.729,0.52121,1.53456,1.03826,0.99347,0.00034104,0.00034104,0.00034104
86,21791.9,1.54648,1.08384,0.97722,0.79466,0.66235,0.72728,0.51451,1.54646,1.04428,0.9924,0.0003381,0.0003381,0.0003381
