epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.5332,2.29004,4.02209,1.28166,0.76135,0.06497,0.05848,0.03282,2.21187,2.90711,1.15463,0.000195279,0.000195279,0.000195279
2,160.822,2.32858,3.05708,1.17171,0.63122,0.09634,0.08115,0.04382,2.19172,2.56331,1.10659,0.000389186,0.000389186,0.000389186
3,232.967,2.21531,2.62895,1.13407,0.40616,0.11681,0.09198,0.05079,2.06728,2.2202,1.11242,0.000580994,0.000580994,0.000580994
4,298.034,2.19871,2.45304,1.13075,0.43378,0.15743,0.13506,0.07467,2.01832,2.05939,1.08372,0.00057856,0.00057856,0.00057856
5,365.984,2.1016,2.25785,1.10863,0.42772,0.17274,0.16484,0.09673,1.99498,1.97933,1.07686,0.000575414,0.000575414,0.000575414
6,431.451,2.11226,2.20963,1.10567,0.29991,0.19346,0.1456,0.08502,1.95635,1.90625,1.07411,0.000572267,0.000572267,0.000572267
7,501.996,2.06271,2.09289,1.09489,0.38445,0.22368,0.17468,0.09977,1.95889,1.85388,1.06844,0.00056912,0.00056912,0.00056912
8,572.332,2.05561,2.06213,1.08897,0.32987,0.25073,0.18538,0.10964,1.97934,1.85369,1.06392,0.000565974,0.000565974,0.000565974
9,637.423,2.00124,2.01527,1.08442,0.32941,0.26851,0.20401,0.12178,1.90077,1.74876,1.0528,0.000562827,0.000562827,0.000562827
10,704.213,1.9755,1.94864,1.06624,0.46893,0.26765,0.23039,0.13968,1.93701,1.78013,1.05519,0.000559681,0.000559681,0.000559681
11,769.374,1.9608,1.90677,1.06696,0.50953,0.28782,0.24238,0.15278,1.86698,1.71011,1.04319,0.000556534,0.000556534,0.000556534
12,833.234,1.94298,1.89334,1.06258,0.53637,0.30371,0.25988,0.1641,1.8588,1.67277,1.04015,0.000553387,0.000553387,0.000553387
13,905.523,1.9564,1.8615,1.06055,0.56346,0.31593,0.30866,0.19578,1.88613,1.68722,1.04665,0.000550241,0.000550241,0.000550241
14,976.48,1.91537,1.83293,1.05964,0.62643,0.30527,0.30867,0.19925,1.83127,1.60148,1.04088,0.000547094,0.000547094,0.000547094
15,1042.74,1.89689,1.78883,1.05025,0.57135,0.35087,0.31969,0.2118,1.81369,1.61297,1.03685,0.000543948,0.000543948,0.000543948
16,1106.47,1.88899,1.79166,1.05484,0.61326,0.35024,0.34887,0.23255,1.79602,1.57077,1.03778,0.000540801,0.000540801,0.000540801
17,1170.06,1.8949,1.7502,1.04127,0.63918,0.32248,0.32865,0.21167,1.78874,1.61023,1.02466,0.000537654,0.000537654,0.000537654
18,1235.3,1.88985,1.7145,1.04379,0.6776,0.31277,0.36281,0.24049,1.8004,1.52655,1.02772,0.000534508,0.000534508,0.000534508
19,1299.53,1.87179,1.70319,1.04271,0.5181,0.35898,0.33825,0.22076,1.79516,1.52778,1.02537,0.000531361,0.000531361,0.000531361
20,1363.97,1.83415,1.66615,1.02205,0.66546,0.34471,0.3616,0.23921,1.79695,1.54912,1.02803,0.000528215,0.000528215,0.000528215
21,1429.51,1.84768,1.6544,1.02443,0.63892,0.34803,0.36152,0.23615,1.77213,1.50271,1.02809,0.000525068,0.000525068,0.000525068
22,1494.01,1.88051,1.64265,1.02874,0.4519,0.37091,0.36728,0.24144,1.81956,1.52029,1.02773,0.000521922,0.000521922,0.000521922
23,1564.92,1.84757,1.61653,1.02345,0.38492,0.39693,0.38031,0.24958,1.73704,1.5222,1.01827,0.000518775,0.000518775,0.000518775
24,1628.72,1.84976,1.61822,1.01919,0.58072,0.3655,0.39992,0.26752,1.77672,1.50185,1.01679,0.000515628,0.000515628,0.000515628
25,1696.12,1.82518,1.57932,1.02523,0.62212,0.35236,0.40952,0.2726,1.74522,1.4523,1.01502,0.000512482,0.000512482,0.000512482
26,1762.44,1.81778,1.56903,1.02108,0.63164,0.37643,0.42367,0.27449,1.77513,1.46291,1.01755,0.000509335,0.000509335,0.000509335
27,1826.8,1.78904,1.55702,1.01866,0.44765,0.40155,0.3964,0.26072,1.74445,1.46629,1.01512,0.000506189,0.000506189,0.000506189
28,1892.96,1.79306,1.54444,1.01767,0.45893,0.41995,0.42366,0.28735,1.755,1.43832,1.01156,0.000503042,0.000503042,0.000503042
29,1959.27,1.80922,1.5423,1.0183,0.48122,0.41221,0.44244,0.29567,1.73536,1.4468,1.01619,0.000499895,0.000499895,0.000499895
30,2023.23,1.75289,1.50894,1.00965,0.51199,0.42654,0.449,0.30156,1.72281,1.41119,1.00839,0.000496749,0.000496749,0.000496749
31,2088.21,1.78068,1.4857,1.00552,0.52789,0.42392,0.45897,0.31277,1.7099,1.37377,1.00537,0.000493602,0.000493602,0.000493602
32,2154.01,1.81194,1.54054,1.015,0.5144,0.43864,0.44499,0.29085,1.7435,1.40138,1.01258,0.000490456,0.000490456,0.000490456
33,2217.28,1.74939,1.47343,1.00869,0.52264,0.46636,0.46963,0.32177,1.69828,1.35608,0.99978,0.000487309,0.000487309,0.000487309
34,2282.1,1.80131,1.48822,1.00349,0.50433,0.47447,0.48561,0.31752,1.74116,1.39612,1.0061,0.000484162,0.000484162,0.000484162
35,2349.82,1.76236,1.45369,0.99909,0.50998,0.45628,0.47957,0.31903,1.70076,1.34221,0.99537,0.000481016,0.000481016,0.000481016
36,2413.42,1.76188,1.44408,1.00423,0.53069,0.48037,0.48545,0.33143,1.68232,1.34578,0.99678,0.000477869,0.000477869,0.000477869
37,2483.96,1.73575,1.44365,0.99672,0.5038,0.49328,0.49195,0.32223,1.72569,1.35209,1.00655,0.000474723,0.000474723,0.000474723
38,2549.71,1.75641,1.41896,0.99622,0.55967,0.48978,0.50424,0.34043,1.69437,1.33108,0.99641,0.000471576,0.000471576,0.000471576
39,2615.1,1.7435,1.4295,1.00031,0.53417,0.50296,0.50981,0.34338,1.67074,1.33143,0.99541,0.000468429,0.000468429,0.000468429
40,2679.85,1.7471,1.41404,0.99895,0.56493,0.4808,0.50613,0.33912,1.69273,1.33592,0.99644,0.000465283,0.000465283,0.000465283
41,2745.44,1.73563,1.39643,0.99878,0.55258,0.50088,0.5173,0.33869,1.69752,1.33864,0.99397,0.000462136,0.000462136,0.000462136
42,2812.41,1.71953,1.37586,0.98999,0.58463,0.51792,0.53718,0.36389,1.67209,1.2886,0.99255,0.00045899,0.00045899,0.00045899
43,2876.53,1.70531,1.37861,0.99155,0.55007,0.53205,0.53064,0.35933,1.7036,1.2984,0.99159,0.000455843,0.000455843,0.000455843
44,2939.86,1.73794,1.37154,0.99493,0.57082,0.52303,0.53341,0.3667,1.69901,1.30098,0.99045,0.000452696,0.000452696,0.000452696
45,3005.62,1.74218,1.35639,0.99726,0.5551,0.55594,0.55214,0.38051,1.66117,1.27207,0.98952,0.00044955,0.00044955,0.00044955
46,3070.64,1.72204,1.34536,0.98988,0.6108,0.48925,0.52118,0.34709,1.6946,1.29874,0.99752,0.000446403,0.000446403,0.000446403
47,3134.71,1.689,1.33492,0.98346,0.60859,0.53874,0.56194,0.38461,1.66608,1.27127,0.98639,0.000443257,0.000443257,0.000443257
48,3198.93,1.69468,1.33056,0.98766,0.6037,0.52776,0.56877,0.38617,1.67021,1.26334,0.98601,0.00044011,0.00044011,0.00044011
49,3267.09,1.69706,1.30451,0.97893,0.62181,0.52913,0.56318,0.37715,1.67762,1.26307,0.98971,0.000436963,0.000436963,0.000436963
50,3335.64,1.72031,1.34174,0.9921,0.64163,0.53308,0.57402,0.39316,1.66286,1.26049,0.98831,0.000433817,0.000433817,0.000433817
51,3400.57,1.69158,1.30625,0.98067,0.61963,0.5279,0.56747,0.37816,1.69822,1.27211,0.9912,0.00043067,0.00043067,0.00043067
52,3469.28,1.66728,1.29108,0.9773,0.63213,0.5752,0.59489,0.4016,1.66738,1.22167,0.98692,0.000427524,0.000427524,0.000427524
53,3532.6,1.67148,1.28318,0.9842,0.61895,0.58368,0.60012,0.41054,1.63696,1.23864,0.98005,0.000424377,0.000424377,0.000424377
54,3627.16,1.68428,1.28239,0.98176,0.673,0.55834,0.58591,0.40149,1.62879,1.22525,0.98173,0.00042123,0.00042123,0.00042123
55,3691.32,1.66485,1.27953,0.97739,0.63474,0.56693,0.57752,0.38997,1.65558,1.24514,0.98502,0.000418084,0.000418084,0.000418084
56,3755.67,1.6646,1.28703,0.98159,0.65978,0.53859,0.59186,0.39787,1.65552,1.22762,0.98856,0.000414937,0.000414937,0.000414937
57,3822.2,1.65774,1.25353,0.97166,0.61077,0.57358,0.60387,0.41945,1.61604,1.19773,0.97483,0.000411791,0.000411791,0.000411791
58,3885.99,1.65284,1.26201,0.97388,0.65797,0.55845,0.5996,0.40049,1.66337,1.23819,0.98296,0.000408644,0.000408644,0.000408644
59,3950.12,1.67554,1.2703,0.97559,0.67981,0.54573,0.58795,0.40114,1.61807,1.21728,0.97476,0.000405498,0.000405498,0.000405498
60,4016.37,1.64751,1.24199,0.96728,0.6878,0.55846,0.61352,0.41869,1.63236,1.19849,0.9767,0.000402351,0.000402351,0.000402351
