epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2795.83,1.72365,1.37945,0.99046,0.56146,0.50431,0.52105,0.35369,1.67638,1.28218,0.98923,0.000389109,0.000389109,0.000389109
43,2859.51,1.72099,1.38664,0.99542,0.57507,0.49905,0.51977,0.34866,1.73033,1.30897,0.99841,0.000384258,0.000384258,0.000384258
44,2923.13,1.73512,1.38153,0.99448,0.56373,0.48166,0.51399,0.35248,1.65746,1.30367,0.98543,0.000379407,0.000379407,0.000379407
45,2989.02,1.73497,1.36493,0.99494,0.54667,0.51672,0.5211,0.35804,1.67787,1.31078,0.99114,0.000374556,0.000374556,0.000374556
46,3054.12,1.73547,1.35761,0.9941,0.58475,0.50148,0.52261,0.3481,1.6777,1.27571,0.98979,0.000369705,0.000369705,0.000369705
47,3118.88,1.6925,1.33657,0.98403,0.56245,0.52254,0.54501,0.37336,1.66499,1.25839,0.98541,0.000364854,0.000364854,0.000364854
48,3182.45,1.70009,1.333,0.98955,0.56897,0.52641,0.53932,0.36361,1.67437,1.27242,0.98594,0.000360003,0.000360003,0.000360003
49,3250.71,1.70395,1.31419,0.98117,0.55997,0.54141,0.54695,0.36561,1.68618,1.26871,0.98723,0.000355152,0.000355152,0.000355152
50,3319.38,1.71935,1.3446,0.99141,0.66601,0.50221,0.54204,0.36934,1.66957,1.26204,0.98973,0.000350301,0.000350301,0.000350301
51,3383.63,1.69117,1.30823,0.98159,0.5696,0.56268,0.57684,0.39307,1.64623,1.23821,0.98156,0.00034545,0.00034545,0.00034545
52,3452.7,1.66874,1.2955,0.97943,0.62844,0.54851,0.57774,0.39217,1.65018,1.22839,0.98302,0.000340599,0.000340599,0.000340599
53,3516.81,1.66054,1.28938,0.98232,0.64353,0.54147,0.58707,0.40199,1.64356,1.24455,0.98165,0.000335748,0.000335748,0.000335748
54,3607.98,1.68611,1.29869,0.98211,0.62768,0.54155,0.57735,0.39573,1.62268,1.22658,0.97848,0.000330897,0.000330897,0.000330897
55,3671.95,1.66551,1.28694,0.97758,0.66714,0.5161,0.57083,0.38562,1.65521,1.23072,0.98528,0.000326046,0.000326046,0.000326046
56,3735.74,1.66636,1.28662,0.98232,0.61157,0.56054,0.57764,0.39638,1.63651,1.21782,0.9841,0.000321195,0.000321195,0.000321195
57,3801.37,1.65244,1.25818,0.97109,0.66122,0.55016,0.59278,0.40432,1.62689,1.20505,0.97762,0.000316344,0.000316344,0.000316344
58,3864.97,1.65166,1.26807,0.97388,0.69449,0.55717,0.59486,0.40065,1.66381,1.22862,0.9824,0.000311493,0.000311493,0.000311493
59,3929.33,1.67994,1.28241,0.97583,0.68334,0.55523,0.59286,0.40349,1.6193,1.20152,0.97472,0.000306642,0.000306642,0.000306642
60,3993.29,1.65049,1.24838,0.9684,0.66264,0.56535,0.60392,0.40886,1.64082,1.20446,0.97682,0.000301791,0.000301791,0.000301791
61,4057.4,1.65777,1.26442,0.9762,0.6599,0.57103,0.60037,0.40039,1.63044,1.20629,0.97695,0.00029694,0.00029694,0.00029694
62,4121.98,1.67351,1.25809,0.9787,0.66763,0.55218,0.58683,0.40043,1.62115,1.21677,0.97578,0.000292089,0.000292089,0.000292089
63,4188.96,1.65422,1.26003,0.96754,0.6511,0.55853,0.59781,0.40816,1.62318,1.18886,0.97515,0.000287238,0.000287238,0.000287238
64,4255,1.62544,1.21725,0.96805,0.67391,0.56086,0.60387,0.41459,1.61902,1.18297,0.97579,0.000282387,0.000282387,0.000282387
65,4321.89,1.63957,1.21084,0.97087,0.69055,0.56893,0.61933,0.42318,1.62224,1.15745,0.97525,0.000277536,0.000277536,0.000277536
66,4387.37,1.65247,1.22727,0.96596,0.69471,0.58913,0.61941,0.42358,1.60162,1.16678,0.97142,0.000272685,0.000272685,0.000272685
67,4451.54,1.64389,1.22052,0.97136,0.71843,0.5568,0.62292,0.42952,1.60269,1.16331,0.97059,0.000267834,0.000267834,0.000267834
68,4515.56,1.60759,1.21449,0.96052,0.68958,0.58655,0.62033,0.43477,1.59915,1.16913,0.96791,0.000262983,0.000262983,0.000262983
69,4583.56,1.6237,1.20107,0.96195,0.66262,0.57666,0.60588,0.41818,1.60699,1.17991,0.97065,0.000258132,0.000258132,0.000258132
70,4651.8,1.62847,1.19945,0.96389,0.71951,0.56131,0.61702,0.42564,1.61109,1.18078,0.97028,0.000253281,0.000253281,0.000253281
71,4716.71,1.58241,1.18525,0.95891,0.70679,0.56723,0.62634,0.4337,1.59988,1.1594,0.96865,0.00024843,0.00024843,0.00024843
72,4781.26,1.61111,1.19392,0.96325,0.66834,0.60656,0.63691,0.41934,1.63426,1.16927,0.97657,0.000243579,0.000243579,0.000243579
73,4844.75,1.5916,1.18523,0.96053,0.69588,0.58938,0.63067,0.43814,1.59051,1.15564,0.96753,0.000238728,0.000238728,0.000238728
